first-name,organization-name,annual-salary,pay-rate,system,regular-earnings,overtime-earning,other-earnings,ytd-gross
359,31,3,0,1,1,0,0,1
265,31,2,0,1,2,0,0,2
418,31,5,0,1,5,0,0,5
248,31,2,0,1,1,0,32,1
448,31,1,0,1,1,0,0,2
353,31,3,0,1,3,0,0,3
78,31,0,0,1,1,0,0,1
25,31,6,0,1,6,0,0,6
367,31,1,0,1,1,0,0,1
222,31,1,0,1,0,0,0,0
260,31,5,0,1,5,0,0,5
489,31,10,0,1,10,0,0,10
369,31,2,0,1,2,0,0,2
333,31,4,0,1,3,0,0,3
253,31,2,0,1,1,0,0,1
445,31,7,0,1,7,0,0,7
158,31,0,0,1,0,0,0,0
43,31,3,0,1,1,0,0,1
74,31,2,0,1,1,0,32,1
340,31,0,0,1,0,0,0,0
500,31,2,0,1,2,0,0,2
76,31,3,0,1,2,0,0,2
272,31,3,0,1,3,0,0,3
221,31,2,0,1,2,0,0,3
500,31,2,0,1,2,0,0,2
13,31,2,0,1,2,0,0,2
123,31,2,0,1,1,0,0,1
94,31,0,0,1,0,0,0,0
445,31,3,0,1,3,0,0,3
416,31,3,0,1,1,0,0,1
155,31,3,0,1,3,0,0,3
500,31,2,0,1,1,0,0,1
250,31,3,0,1,1,0,32,1
155,31,2,0,1,1,0,0,1
421,31,3,0,1,0,0,0,0
176,31,2,0,1,2,0,0,2
60,31,6,0,1,6,0,0,6
426,31,2,0,1,2,0,0,2
353,31,2,0,1,2,0,0,2
400,31,2,0,1,2,0,0,2
425,31,0,0,1,1,0,0,2
210,31,2,0,1,2,0,32,2
170,31,4,0,1,3,0,0,3
264,31,0,0,1,0,0,0,1
220,31,3,0,1,3,0,0,3
500,31,2,0,1,2,0,0,2
456,31,4,0,1,4,0,0,4
458,31,6,0,1,6,0,0,6
102,31,2,0,1,1,0,32,1
500,31,2,0,1,2,0,0,2
264,31,3,0,1,3,0,0,3
438,31,4,0,1,4,0,0,4
394,31,3,0,1,3,0,0,3
391,31,2,0,1,2,0,0,2
500,31,1,0,1,0,0,0,0
441,31,7,0,1,6,0,0,6
500,31,2,0,1,2,0,0,2
144,31,3,0,1,3,0,0,3
344,31,5,0,1,4,0,0,4
94,31,2,0,1,1,0,0,1
500,31,4,0,1,4,0,0,4
319,31,2,0,1,2,0,0,2
500,31,3,0,1,3,0,0,3
500,31,2,0,1,0,0,0,0
5,31,2,0,1,2,0,0,2
500,31,3,0,1,3,0,0,3
445,31,0,0,1,2,0,1,3
155,31,2,0,1,1,0,32,1
199,31,2,0,1,1,0,32,1
265,31,3,0,1,3,0,0,3
450,31,2,0,1,2,0,0,2
110,31,2,0,1,2,0,0,2
152,31,2,0,1,2,0,0,2
500,31,0,0,1,0,0,0,1
500,31,5,0,1,5,0,0,5
302,31,4,0,1,4,0,0,4
161,31,2,0,1,2,0,0,2
261,31,10,0,1,10,0,0,10
394,31,6,0,1,6,0,0,6
391,31,3,0,1,3,0,0,3
29,31,5,0,1,5,0,0,5
371,31,2,0,1,2,0,0,2
500,31,3,0,1,3,0,0,3
344,31,4,0,1,3,0,0,3
334,31,2,0,1,2,0,0,2
108,31,2,0,1,2,0,0,2
500,31,1,0,1,1,0,0,1
386,31,0,0,1,0,0,0,0
500,31,5,0,1,5,0,0,5
165,31,3,0,1,3,0,0,3
