,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Survived
0,3,male,22.0,1,0,7.25,,S,0
1,1,female,38.0,1,0,71.2833,C,C,1
2,3,female,26.0,0,0,7.925,,S,1
3,1,female,35.0,1,0,53.1,C,S,1
4,3,male,35.0,0,0,8.05,,S,0
5,3,male,,0,0,8.4583,,Q,0
6,1,male,54.0,0,0,51.8625,E,S,0
7,3,male,2.0,3,1,21.075,,S,0
8,3,female,27.0,0,2,11.1333,,S,1
9,2,female,14.0,1,0,30.0708,,C,1
10,3,female,4.0,1,1,16.7,G,S,1
11,1,female,58.0,0,0,26.55,C,S,1
12,3,male,20.0,0,0,8.05,,S,0
13,3,male,39.0,1,5,31.275,,S,0
14,3,female,14.0,0,0,7.8542,,S,0
15,2,female,55.0,0,0,16.0,,S,1
16,3,male,2.0,4,1,29.125,,Q,0
17,2,male,,0,0,13.0,,S,1
18,3,female,31.0,1,0,18.0,,S,0
19,3,female,,0,0,7.225,,C,1
20,2,male,35.0,0,0,26.0,,S,0
21,2,male,34.0,0,0,13.0,D,S,1
22,3,female,15.0,0,0,8.0292,,Q,1
23,1,male,28.0,0,0,35.5,A,S,1
24,3,female,8.0,3,1,21.075,,S,0
25,3,female,38.0,1,5,31.3875,,S,1
26,3,male,,0,0,7.225,,C,0
27,1,male,19.0,3,2,263.0,C,S,0
28,3,female,,0,0,7.8792,,Q,1
29,3,male,,0,0,7.8958,,S,0
30,1,male,40.0,0,0,27.7208,,C,0
31,1,female,,1,0,146.5208,B,C,1
32,3,female,,0,0,7.75,,Q,1
33,2,male,66.0,0,0,10.5,,S,0
34,1,male,28.0,1,0,82.1708,,C,0
35,1,male,42.0,1,0,52.0,,S,0
36,3,male,,0,0,7.2292,,C,1
37,3,male,21.0,0,0,8.05,,S,0
38,3,female,18.0,2,0,18.0,,S,0
39,3,female,14.0,1,0,11.2417,,C,1
40,3,female,40.0,1,0,9.475,,S,0
41,2,female,27.0,1,0,21.0,,S,0
42,3,male,,0,0,7.8958,,C,0
43,2,female,3.0,1,2,41.5792,,C,1
44,3,female,19.0,0,0,7.8792,,Q,1
45,3,male,,0,0,8.05,,S,0
46,3,male,,1,0,15.5,,Q,0
47,3,female,,0,0,7.75,,Q,1
48,3,male,,2,0,21.6792,,C,0
49,3,female,18.0,1,0,17.8,,S,0
50,3,male,7.0,4,1,39.6875,,S,0
51,3,male,21.0,0,0,7.8,,S,0
52,1,female,49.0,1,0,76.7292,D,C,1
53,2,female,29.0,1,0,26.0,,S,1
54,1,male,65.0,0,1,61.9792,B,C,0
55,1,male,,0,0,35.5,C,S,1
56,2,female,21.0,0,0,10.5,,S,1
57,3,male,28.5,0,0,7.2292,,C,0
58,2,female,5.0,1,2,27.75,,S,1
59,3,male,11.0,5,2,46.9,,S,0
60,3,male,22.0,0,0,7.2292,,C,0
62,1,male,45.0,1,0,83.475,C,S,0
63,3,male,4.0,3,2,27.9,,S,0
64,1,male,,0,0,27.7208,,C,0
